space,location,front,streetWidth,propertyAge,driverRoom,tent,patio,maidRoom,elevator,furnihsed,pool,basement,price
200,غرب الرياض,شمالية,20.0,0,0,1,1,1,0,0,0,0,970000.0
900,جنوب الرياض,جنوبية غربية,20.0,8,1,0,1,1,0,1,1,0,2500000.0
215,جنوب الرياض,جنوبية شرقية,15.0,0,0,0,1,0,0,0,0,0,980000.0
240,شرق الرياض,شمالية,15.0,0,0,0,1,1,0,0,0,0,1150000.0
375,غرب الرياض,جنوبية,20.0,0,0,0,1,1,0,0,0,0,1650000.0
300,جنوب الرياض,شمالية,20.0,0,0,1,1,0,0,0,0,0,1000000.0
300,جنوب الرياض,جنوبية,20.0,0,0,0,0,0,0,0,0,0,1100000.0
300,غرب الرياض,شمالية,20.0,0,0,0,1,1,0,0,1,0,1180000.0
375,غرب الرياض,شرقية,20.0,0,0,1,1,0,0,0,0,0,1200000.0
200,غرب الرياض,شرقية,20.0,0,0,1,1,1,0,0,0,0,1150000.0
600,شمال الرياض,جنوبية,27.0,0,1,1,1,1,1,0,1,0,6800000.0
770,جنوب الرياض,شمالية شرقية,25.0,7,0,0,1,1,0,0,0,0,2000000.0
360,غرب الرياض,جنوبية,20.0,0,0,1,1,1,0,1,0,0,1070000.0
300,غرب الرياض,جنوبية,15.0,0,0,1,1,1,0,0,1,0,1200000.0
312,غرب الرياض,جنوبية شرقية,20.0,0,0,1,1,1,1,0,0,0,1500000.0
270,غرب الرياض,غربية,15.0,0,0,1,1,1,0,0,0,0,1150000.0
285,جنوب الرياض,شرقية,20.0,0,0,0,1,0,0,0,0,0,650000.0
260,جنوب الرياض,غربية,15.0,0,1,1,1,1,0,0,0,0,900000.0
300,غرب الرياض,شمالية,20.0,0,0,1,1,0,0,0,0,0,1400000.0
360,شرق الرياض,جنوبية,20.0,0,0,1,1,1,1,0,0,0,1600000.0
600,شمال الرياض,جنوبية,15.0,0,1,0,1,1,1,0,1,0,5800000.0
315,غرب الرياض,شمالية,20.0,0,0,1,1,0,0,0,0,0,1400000.0
375,غرب الرياض,شرقية,20.0,0,0,1,1,1,1,0,0,0,2200000.0
360,غرب الرياض,شمالية,5.0,0,0,1,0,1,0,1,0,0,1200000.0
300,شمال الرياض,غربية,15.0,0,1,0,0,1,0,0,0,0,2550000.0
350,غرب الرياض,جنوبية,20.0,0,0,1,0,1,0,0,0,0,1550000.0
435,شمال الرياض,شمالية,15.0,0,1,0,1,1,1,0,0,0,4500000.0
260,جنوب الرياض,شمالية غربية,5.0,0,0,0,0,0,0,0,0,0,900000.0
600,شمال الرياض,جنوبية,20.0,0,1,0,1,1,1,0,1,0,7300000.0
300,غرب الرياض,شمالية,15.0,0,0,1,1,1,0,0,0,0,1350000.0
312,شمال الرياض,شمالية,20.0,0,1,0,1,1,1,0,0,0,3100000.0
280,غرب الرياض,شمالية,15.0,0,0,1,1,1,0,0,0,0,1200000.0
462,شمال الرياض,شمالية غربية,15.0,0,1,0,1,1,1,0,1,0,5200000.0
325,شمال الرياض,شمالية,15.0,0,1,0,1,1,1,0,1,0,3200000.0
600,شمال الرياض,جنوبية,15.0,0,1,0,1,1,1,0,0,0,7000000.0
360,شمال الرياض,شرقية,20.0,0,0,0,1,1,0,0,0,0,1700000.0
420,شرق الرياض,غربية,15.0,4,1,1,1,1,0,0,0,0,2000000.0
450,غرب الرياض,شرقية,18.0,0,0,1,1,0,0,0,0,0,1400000.0
276,شرق الرياض,جنوبية,31.0,2,0,1,1,1,0,0,0,0,1300000.0
275,شرق الرياض,شرقية,15.0,0,1,0,1,1,0,0,0,0,1600000.0
375,غرب الرياض,جنوبية,20.0,0,0,1,1,1,0,0,1,0,1500000.0
230,جنوب الرياض,شمالية,20.0,0,0,1,1,0,0,0,0,0,830000.0
270,غرب الرياض,جنوبية,20.0,0,0,1,1,1,0,0,0,0,1050000.0
300,غرب الرياض,غربية,20.0,0,0,1,1,1,0,0,0,0,1380000.0
375,شمال الرياض,شمالية,15.0,0,1,0,0,1,1,0,0,0,3000000.0
400,شرق الرياض,شرقية,15.0,12,1,0,1,0,0,1,0,0,2000000.0
600,شمال الرياض,غربية,28.0,0,1,0,0,1,1,0,1,0,6800000.0
312,غرب الرياض,جنوبية,20.0,0,0,1,1,1,1,0,0,0,1450000.0
312,غرب الرياض,شرقية,20.0,0,0,1,1,1,0,0,0,0,1280000.0
300,شرق الرياض,غربية,20.0,0,1,1,1,1,0,0,0,0,1900000.0
300,جنوب الرياض,شمالية,20.0,0,0,0,0,0,0,0,0,0,750000.0
200,غرب الرياض,جنوبية,20.0,0,0,1,1,1,0,0,0,0,1100000.0
375,غرب الرياض,جنوبية,20.0,0,0,1,1,1,0,1,0,0,1550000.0
275,جنوب الرياض,شرقية,20.0,0,0,1,1,0,0,0,0,0,900000.0
